Dijkstra Shortest-Paths on Subgraph: 1
Path starting at vertex: 6499
(v1 -> v2) - Weighted Distance
(6567 -> 6516) - 509
(6567 -> 6428) - 309
(6567 -> 6530) - 381
(6567 -> 6568) - 457
(6567 -> 6327) - 258
(6567 -> 6343) - 444
(6567 -> 6344) - 275
(6567 -> 6500) - 215
(6567 -> 6496) - 319
(6567 -> 6440) - 241
(6567 -> 6555) - 356
(6567 -> 6383) - 184
(6567 -> 6580) - 365
(6567 -> 6457) - 294
(6567 -> 6452) - 455
(6567 -> 6377) - 366
(6567 -> 6504) - 289
(6567 -> 6461) - 364
(6567 -> 6494) - 331
(6567 -> 6409) - 384
(6567 -> 6317) - 268
(6567 -> 6465) - 204
(6567 -> 6307) - 278
(6567 -> 6333) - 252
(6567 -> 6387) - 198
(6567 -> 6379) - 350
(6567 -> 6367) - 218
(6567 -> 6312) - 315
(6567 -> 6527) - 312
(6567 -> 6515) - 338
(6567 -> 6479) - 264
(6567 -> 6453) - 340
(6567 -> 6462) - 377
(6567 -> 6565) - 282
(6567 -> 6330) - 255
(6567 -> 6397) - 308
(6567 -> 6342) - 275
(6567 -> 6520) - 195
(6567 -> 6337) - 248
(6567 -> 6473) - 284
(6567 -> 6372) - 213
(6567 -> 6434) - 151
(6567 -> 6463) - 274
(6567 -> 6326) - 319
(6567 -> 6421) - 224
(6567 -> 6389) - 256
